building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
400 FAIRVIEW OFFICE BLDG,400 FAIRVIEW AVE N,536697,12,Office,17328406.0
NORA (IDENTITY APTS 4123),4123 12TH AVE NE,42393,12,Other,1335297.0
KEBERO COURT APTS,1105 E FIR ST,128460,11,Other,2534312.0
CIRRUS,2030 8TH AVE,319481,11,Other,16264217.0
HIRABAYASHI PLACE APTS,442 S MAIN ST,91128,11,Other,1866761.0
STAYBRIDGE SUITES SEATTLE-FREMONT,3926 AURORA AVE N,126823,12,Hotel,5099347.0
PIKE MOTORWORKS BLDG 1 + 2 COMBINED,715 E PINE ST,93203,11,Other,8189988.0
THE MARION WEST,5019 ROOSEVELT WAY NE,35780,10,Other,1220339.0
TENNIS CENTER SAND POINT,7135 SPORTSFIELD DR NE,72000,13,Other,3588124.0
THE WESTSIDE- OFF BROADWAY,801 E THOMAS ST,41384,11,Other,1074832.0
SOREN APARTMENTS,5711 24TH AVE NW,121218,11,Other,2978732.0
SPRUCE WEST SEATTLE,4555 39TH AVE SW,409825,11,Other,4099402.0
GREENWOOD PLACE,14307 GREENWOOD AVE N,49774,11,Other,1364666.0
ASTRO APARTMENTS,315 1ST AVE N,260051,11,Other,6624582.0
BRIDGES@11TH,4557 11TH AVE NE,233757,11,Other,4209926.0
CORNISH SCHL STUDENT HSNG,2025 TERRY AVE,149976,11,Other,3063362.0
HAMLIN ROBINSON SCHOOL,1701 20TH AVE S,45000,11,School,1631799.0
Smith & Burns,4455 INTERLAKE AVE N,175844,11,Other,4018387.0
ROOSTER APTS,900 NE 65TH ST,213952,11,Other,6086633.0
AEGIS LIVING AT GALER,223 W GALER ST,47612,11,Other,2574065.0
INTERBAY PLACE,2208 15TH AVE W,51095,11,Other,3219350.0
VIBE,3601 GREENWOOD AVE N,41403,11,Other,1243627.0
NOLAN,4717 BROOKLYN AVE NE,63825,11,Other,2133598.0
TERRY & MAPLE HALL UW,1101 NE CAMPUS PKWY,325000,11,Other,17488408.0
RETAIL & RESIDENTIAL BUILDING,820 YESLER WAY,86045,11,Other,2158150.0
ALLEN INSTITUTE FOR BRAIN SCIENCE (AIBS),601 WESTLAKE AVE N,345290,11,Other,41943164.0
Broadstone Sky,4745 40TH AVE SW,208136,11,Other,3645452.0
MADISON CENTER,920 5TH AVE,990000,10,Office,23172480.0
1806 23rd Ave Microhousing,1806 23RD AVE,20246,12,Other,724232.0
HELIOS APTS,1600 2ND AVE,559958,7,Other,16348409.0
