building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
MAYFLOWER PARK HOTEL,405 OLIVE WAY,88434,99,Hotel,7113958.0
PARAMOUNT HOTEL,724 PINE ST,103566,30,Hotel,6330664.0
HOTEL MAX,620 STEWART ST,61320,100,Hotel,5273981.0
WARWICK SEATTLE HOTEL,401 LENORA ST,175580,46,Hotel,11983959.0
WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,97288,27,Other,8515194.0
CAMLIN WORLDMARK HOTEL,1619 9TH AVE,83008,100,Hotel,8676845.0
PARAMOUNT THEATRE,901 PINE ST,102761,100,Other,8510394.0
COURTYARD BY MARRIOTT - PIONEER SQ,612 2ND AVE,163984,122,Hotel,14715816.0
LYON BUILDING,607 3RD AVE,63712,116,Other,3194788.0
HOTEL MONACO,1101 4TH AVE,153163,57,Hotel,10565442.0
W SEATTLE HOTEL,1112 4TH AVE,333176,28,Hotel,25207774.0
EXECUTIVE HOTEL PACIFIC,400 SPRING ST,65009,98,Hotel,4707694.0
CROWNE PLAZA,1113 6TH AVE,353111,46,Hotel,15684455.0
HOTEL VINTAGE PARK,1100 5TH AVE,67390,104,Hotel,4462021.0
CENTRAL - SEATTLE PUBLIC LIBRARY,1000 4TH AVE,412000,22,Other,13818198.0
DOWNTOWN SEATTLE YMCA,909 4TH AVE,103911,96,Other,5085859.0
RENAISSANCE MADISON HOTEL,515 MADISON ST,460902,43,Hotel,28976404.0
RAINIER CLUB (HISTORICAL LANDMARK),810 4TH AVE,57452,119,Other,6834993.0
ARCTIC CLUB HOTEL - SEATTLE,700 3RD AVE,104352,110,Hotel,8722299.0
KING COUNTY COURTHOUSE,516 3RD AVE,540360,110,Other,50227788.0
KING COUNTY CORRECTIONAL FACILITY,500 5TH AVE,385274,41,Other,39738460.0
GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5101 S GRAHAM ST,56228,65,School,1625718.0
WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,88592,25,Hotel,3610078.0
CORNISH (Main Campus Center),1000 LENORA ST,126593,98,Other,8797906.0
SPRINGHILL SUITES SEATTLE DOWNTOWN,1800 YALE AVE,171866,25,Hotel,8302082.0
MEANY MIDDLE SCHOOL (SPS-DISTRICT),300 20TH AVE E,126351,71,School,4785164.0
HOTEL FIVE,2200 5TH AVE,68410,48,Hotel,3390906.0
JANE ADDAMS MIDDLE (SPS-DISTRICT),11031 34TH AVE NE,160645,77,School,7020056.0
JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),201 GARFIELD ST,51582,37,School,1373992.0
GOOD SHEPHERD CENTER,4649 SUNNYSIDE AVE N,87262,120,Office,4146749.0
SILVER CLOUD INN UNIVERSITY,5036 25TH AVE NE,81871,32,Hotel,5320308.0
2746 NE 45TH ST - PUBLIC STORAGE,2746 NE 45TH ST,26225,71,Warehouse,216227.0
LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),4017 26TH AVE W,54986,36,School,1715797.0
ECKSTEIN MIDDLE (SPS-DISTRICT),3003 NE 75TH ST,175565,76,School,6779131.0
EL CENTRO DE LA RAZA,2524 16TH AVE S,52554,126,Office,2477294.0
BLANCHET HIGH SCHOOL,8200 WALLINGFORD AVE N,175015,72,School,8684954.0
VINE ST MINI STORAGE,11 VINE ST,70586,115,Warehouse,1265440.0
Coast Seattle Downtown Hotel by APA,1301 6TH AVE,126240,57,Hotel,12269666.0
5TH & PINE,1513 5TH AVE,88717,53,Office,5126680.0
CENTURY SQUARE RETAIL,1525 4TH AVE,57428,106,Other,945387.0
GIBRALTAR TOWER,1518 3RD AVE,59400,116,Office,1419809.0
MANN BUILDING/WILD GINGER/TRIPLE DOOR,1401 3RD AVE,64597,100,Other,10571392.0
PALIHOTEL,107 PINE ST,50510,126,Hotel,4806724.0
HOTEL THEODORE (ROOSEVELT),1531 7TH AVE,98634,96,Hotel,7883218.0
INN AT THE MARKET,86 PINE ST,71150,41,Hotel,5869980.0
MOORE HOTEL & THEATRE,1926 2ND AVE,122810,118,Hotel,3574054.0
HOLIDAY INN - SEATTLE,211 DEXTER AVE N,150453,26,Hotel,6203145.0
FAIRFIELD INN,226 7TH AVE N,116300,29,Hotel,4666302.0
HOMEWOOD SUITES HOTEL - SEATTLE,206 WESTERN AVE W,155602,28,Hotel,6941638.0
SEATTLE HEBREW ACADEMY,1617 INTERLAKEN DR E,56072,115,School,3687303.0
FOUR POINTS SHERATON SEATTLE CENTER,601 ROY ST,122942,27,Hotel,2949498.0
WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS),1700 E CHERRY ST,54984,64,Office,2982075.0
PROVIDENCE MT ST VINCENT,4831 35TH AVE SW,371257,104,Other,43189372.0
THE BROADVIEW CENTER,13023 GREENWOOD AVE N,93397,56,Other,11619583.0
SCCA - ALLIANCE HOUSE,207 PONTIUS AVE N,84103,18,Hotel,3514683.0
ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),3701 SW 104TH ST,78972,10,School,2991425.0
POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),1200 HARVARD AVE,329489,61,Other,13926587.0
SORRENTO HOTEL,900 MADISON ST,76631,118,Hotel,7350316.0
BLOODWORKS NW CENTRAL SEATTLE,921 TERRY AVE,121099,43,Office,13622136.0
CITY PLACE III (Obidos/Rufus),551 BOREN AVE N,438093,16,Office,12568686.0
MARRIOTT RESIDENCE INN,800 FAIRVIEW AVE N,282863,36,Hotel,16511179.0
BAGLEY WRIGHT THEATER (Rep) - SEATTLE CENTER,305 HARRISON ST,65127,64,Other,4897920.0
ARMORY - SEATTLE CENTER,305 HARRISON ST,396085,88,Other,9726848.0
CITY PLACE IV (Ruby/Dawson),301 BOREN AVE N,571329,16,Office,27352684.0
EXHIBITION HALL - SEATTLE CENTER,301 MERCER ST,52000,64,Other,3084492.0
MCCAW HALL - SEATTLE CENTER,225 MERCER ST,262048,98,Other,15442383.0
KCTS 9,401 MERCER ST,66240,40,Other,2004687.0
BILL & MELINDA GATES FOUNDATION,500 5TH AVE N,920598,16,Office,36929060.0
SCRIPPS BUILDING - 221 FIRST AVENUE WEST,221 1ST AVE W,76213,56,Office,3613725.0
THE MEDITERRANEAN INN,425 QUEEN ANNE AVE N,127200,24,Hotel,4868459.0
UNIVERSITY INN,4140 ROOSEVELT WAY NE,71403,64,Hotel,3293400.0
PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),1901 SW GENESEE ST,75364,27,School,2137819.0
ST JOSEPH K-8 SCHOOL,700 18TH AVE E,67743,103,School,2976746.0
HOLY NAMES ACADEMY,728 21ST AVE E,168239,118,School,5838604.0
THE 2100 BUILDING,2100 24TH AVE S,99433,23,Office,3675864.0
MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),3301 S HORTON ST,60725,35,School,1958595.0
ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),5215 46TH AVE S,59955,37,School,1695354.0
MCCLURE MIDDLE (SPS-DISTRICT),1915 1ST AVE W,93218,62,School,2938450.0
CENTURYLINK: LAKEVIEW MAIN,1208 NE 64TH ST,56521,85,Other,5176539.0
ROOSEVELT SQUARE,6417 ROOSEVELT WAY NE,228385,97,Retail,12806470.0
KING COUNTY- MARY PILGRIM HOUSING,14115 AURORA AVE N,51390,25,Other,2207853.0
BROADVIEW THOMSON K-8 (SPS-DISTRICT),13052 GREENWOOD AVE N,131013,63,School,3949633.0
INGRAHAM HIGH (SPS-DISTRICT),1819 N 135TH ST,245587,67,School,11509496.0
KING COUNTY- NORTHGATE HOUSING,13300 STONE AVE N,69138,24,Other,2986404.0
B F DAY ELEMENTARY (SPS-DISTRICT),3921 LINDEN AVE N,66588,35,School,2039050.0
HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),7740 34TH AVE SW,44324,100,School,1946471.0
SEATTLE PACIFIC UNIVERSITY - Royal Brougham Pavilion,3414 3RD AVE W,82746,99,Other,5325844.0
ALEXIS HOTEL,1007 1ST AVE,182237,122,Hotel,5531380.0
BENAROYA HALL,1301 3RD AVE,174000,28,Other,14148573.0
SWEDISH MEDICAL CENTER BALLARD - CAMPUS,5300 TALLMAN AVE NW,451526,72,Other,54483372.0
WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),5601 5TH AVE NW,55513,35,School,1773472.0
FIRE STATION 10/FAC/EOC,400 S WASHINGTON ST,61156,20,Other,8959962.0
WING LUKE MUSEUM/KONG YICK BLDG.,719 S KING ST,72820,116,Other,1489704.0
HAMPTON INN & SUITES,700 5TH AVE N,162222,30,Hotel,7137895.0
FRANKLIN HIGH SCHOOL (SPS-DISTRICT),3013 S MOUNT BAKER BLVD,289588,36,School,6922016.0
SEATTLE CENTRAL COMMUNITY COLLEGE MASTER CAMPUS ID (Benchmarking),1500 HARVARD AVE,122976,101,Other,49992956.0
SOUTH SEATTLE COLLEGE - CAMPUS MASTER ID,6000 16TH AVE SW,529343,56,Other,27219828.0
SEATTLE CHILDREN'S HOSPITAL (ADMIN BLDG),6901 SAND POINT WAY NE,96300,24,Office,7624784.0
CSC Vehicle Maintenance (E),805 S DEARBORN ST,67356,76,Other,5323700.0
GARFIELD HIGH (SPS-DISTRICT),400 23RD AVE,254523,18,School,10895698.0
EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),9709 60TH AVE S,78804,25,School,3336969.0
MADRONA SCHOOL (SPS-DISTRICT),1121 33RD AVE,66994,24,School,2420644.0
VAN ASSELT ELEMENTARY @ AAA  (SPS-DISTRICT),8311 BEACON AVE S,103166,26,School,3860434.0
UNION GOSPEL MISSION ASSN - ADMIN BUILDING,3800 S OTHELLO ST,54765,68,Other,4220287.0
UNION GOSPEL MISSION ASSN / HOPE PLACE,3802 S OTHELLO ST,89821,17,Other,1787502.0
SEATTLE PACIFIC UNIVERSITY - Otto Miller Hall,3469 3RD AVE W,53016,46,Other,4089140.0
"EMERSON HALL, SEATTLE PACIFIC UNIVERSITY",362 W EMERSON ST,135520,25,Other,4315169.0
NATHAN HALE HIGH (SPS-DISTRICT),10750 30TH AVE NE,236758,15,School,8994042.0
GREENWOOD ELEMENTARY (SPS-DISTRICT),144 NW 80TH ST,62526,24,School,2214502.0
WEBSTER ST BUILDING (CEDAR GROVE),7343 E MARGINAL WAY S,64015,19,Other,2792927.0
Verity Credit Union,11027 MERIDIAN AVE N,55442,30,Other,3082679.0
BALLARD HIGH (SPS-DISTRICT),1418 NW 65TH ST,242795,27,School,9488952.0
NORTH SEATTLE COLLEGE - CAMPUS,9600 COLLEGE WAY N,694072,56,Other,37867176.0
AKI KUROSE MIDDLE (SPS-DISTRICT),3928 S GRAHAM ST,173185,74,School,8575808.0
BOREN STEM K-8 (SPS-DISTRICT),5950 DELRIDGE WAY SW,145341,63,School,5867832.0
RAINIER BOTTLING PLANT,5628 AIRPORT WAY S,92051,122,Office,1290966.0
WHITMAN MIDDLE (SPS-DISTRICT),9201 15TH AVE NW,160270,67,School,6238285.0
Terreno 1st Ave South,4786 1ST AVE S,234144,89,Other,6010046.0
WESTWOOD VILLAGE - BLDG A,2600 SW BARTON ST,64984,60,Retail,1601222.0
WESTWOOD VILLAGE - BLDG B,2600 SW BARTON ST,67745,61,Other,15301791.0
DENNY/ SEALTH CAMPUS (SPS-DISTRICT),2500 SW THISTLE ST,367884,16,School,11274680.0
ROXHILL ELEMENTARY SCHOOL(SPS-DISTRICT),9450 30TH AVE SW,46797,68,School,1960085.0
WASHINGTON MIDDLE (SPS-DISTRICT),2101 S JACKSON ST,136188,63,School,4974718.0
MARTIN LUTHER KING JR (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT),6725 45TH AVE S,67371,22,School,2469600.0
U-HAUL RENTALS & MINI-STORAGE,6343 35TH AVE SW,52088,57,Warehouse,1138904.0
HAMILTON MIDDLE (SPS-DISTRICT),1610 N 41ST ST,127776,16,School,4706726.0
SILVER CLOUD INN LAKE UNION,1150 FAIRVIEW AVE N,123920,28,Hotel,6746286.0
ARMORY BUILDING (MOHAI),860 TERRY AVE N,52690,126,Other,7726318.0
SEATTLE CITY LIGHT ROY STREET WAREHOUSE,802 ROY ST,50292,100,Other,135399.0
COURTYARD BY MARRIOTT - SEATTLE,925 WESTLAKE AVE N,207656,28,Hotel,10063541.0
WHITTIER ELEMENTARY (SPS-DISTRICT),7501 13TH AVE NW,67235,27,School,2660791.0
SEATTLE CITY LIGHT NORTH SERVICE CENTER (NSC),9700 STONE AVE N,91130,69,Office,8779473.0
GATEWOOD ELEMENTARY SCHOOL (SPS-DISTRICT),4320 SW MYRTLE ST,58118,35,School,1571096.0
HOTEL NEXUS - NORTHGATE,2140 N NORTHGATE WAY,64892,58,Hotel,4045649.0
OLYMPIC VIEW (SPS-DISTRICT),504 NE 95TH ST,52792,37,School,1231351.0
VAN ASSELT BLDG RENOVATED (SPS-DISTRICT),7201 BEACON AVE S,143516,101,School,4588624.0
WASHINGTON PARK BUILDING- VACANCY EXEMPTION,68 S WASHINGTON ST,44558,126,Office,1030778.0
CITY LIGHT - SOUTH SERVICE CENTER BLDG A,400 S SPOKANE ST,179161,102,Other,9948779.0
CITY LIGHT - SOUTH SERVICE CENTER BLDG B,3613 4TH AVE S,58640,61,Other,3425243.0
SILVER CLOUD INN SEATTLE,1046 1ST AVE S,168449,21,Hotel,12525304.0
PORT OF SEATTLE- TERMINAL 30 (CAMPUS),1901 E MARGINAL WAY S,68640,23,Other,7029919.0
Harbor Island Studios - KING COUNTY,3235 16TH AVE SW,79600,110,Other,1767855.0
LINCOLN HIGH (SPS-DISTRICT),4400 INTERLAKE AVE N,241066,29,School,7252067.0
BOEING SOUTH PARK CAMPUS REPORT,1420 S TRENTON ST,334368,46,Other,42919488.0
TRIBECA CONDOS & STORE,516 1ST AVE W,82061,24,Other,11047976.0
2024 THIRD AVE/YWCA,2024 3RD AVE,116947,23,Other,8890412.0
WEST SEATTLE FOOD BANK,3419 SW MORGAN ST,52134,19,Other,1588745.0
GRAND HYATT SEATTLE,721 PINE ST,838117,27,Other,49769936.0
HIGHLAND PARK SCHOOL (SPS-DISTRICT),1012 SW TRENTON ST,71714,27,School,2933055.0
PUBLIC STORAGE (STORE 27020),3616 STONE WAY N,75397,35,Warehouse,464086.0
ID VILLAGE SQUARE 1,802 S DEARBORN ST,102796,27,Other,8954993.0
WEST SEATTLE HIGH SCHOOL (SPS-DISTRICT),3000 CALIFORNIA AVE SW,208981,24,School,8915576.0
THE WINTONIA,1431 MINOR AVE,51976,117,Other,3880777.0
UNIVERSITY HEIGHTS CENTER,5031 UNIVERSITY WAY NE,55653,98,Other,1980280.0
HOTEL DECA,4507 BROOKLYN AVE NE,106860,95,Hotel,7638186.0
LAKE CITY CENTER,12360 LAKE CITY WAY NE,50759,54,Office,3100594.0
UNIVERSITY CONGREGATIONAL CHURCH,4515 16TH AVE NE,56772,74,Other,2989276.0
UNIVERSITY PRESBYTERIAN CHURCH,4550 15TH AVE NE,87250,74,Other,5783918.0
ROOSEVELT HIGH (SPS-DISTRICT),1410 NE 66TH ST,269297,20,School,10616563.0
BRYANT ELEMENTARY (SPS-DISTRICT),3311 NE 60TH ST,75174,25,School,3139694.0
FRANTZ H COE ELEMENTARY SCHOOL (SPS-DISTRICT),2424 7TH AVE W,75214,23,School,3013187.0
MADISON MIDDLE (SPS-DISTRICT),3429 45TH AVE SW,166017,21,School,4022559.0
THURGOOD MARSHALL (SPS-DISTRICT),2401 S IRVING ST,64414,35,School,2292759.0
"MARSHALL, JOHN (SPS-DISTRICT)",520 NE RAVENNA BLVD,92437,99,School,5495332.0
ACT THEATRE,700 UNION ST,128766,112,Other,4718224.0
YWCA Women's Residence,1118 5TH AVE,107572,113,Other,1464382.0
CENTURYLINK: 3RD AVE 3-D,1122 3RD AVE,208328,71,Other,47338732.0
Youngstown Cultural Arts Center/Cooper School Artist Lofts,4408 DELRIDGE WAY SW,56617,109,Other,1959314.0
MCDERMONTT PLACE (Lake City Court),12730 33RD AVE NE,56745,17,Other,2566898.0
OTHELLO BUILDING,3815 S OTHELLO ST,67920,23,Other,2284588.0
CLEVELAND HIGH SCHOOL (SPS-DISTRICT),5511 15TH AVE S,204961,19,School,8271551.0
ELLIOTT PARK BUILDING,201 ELLIOTT AVE W,190000,99,Other,22569626.0
EDGEWATER INN,2411 ALASKAN WAY,122309,65,Hotel,21210568.0
PORT OF SEATTLE  BELL HARBOR COMPLEX  & CONFERENCE - CAMPUS,2201 ALASKAN WAY,217088,31,Other,35469744.0
SEATTLE WATERFRONT MARRIOTT,2100 ALASKAN WAY,293030,23,Hotel,24555710.0
SEATTLE AQUARIUM,1421 ALASKAN WAY,53365,46,Other,14018604.0
PIER 54,1003 ALASKAN WAY,62900,126,Other,10509077.0
DAILY JOURNAL BUILDING,83 COLUMBIA ST,46620,112,Office,1356528.0
BMW SEATTLE - SERVICE CENTER,900 MAYNARD AVE S,203504,18,Other,3058076.0
KIRO-TV,2807 3RD AVE,100734,58,Office,8246353.0
GRANGE OFFICE PLAZA,200 CEDAR ST,77662,45,Office,3021059.0
FOURTH & BATTERY BUILDING,2401 4TH AVE,234000,48,Office,9798671.0
WESTLAKE MALL RETAIL PORTION,400 PINE ST,111077,37,Other,15218927.0
WESTLAKE TOWER,1601 5TH AVE,516342,37,Office,12509112.0
NORDSTROM DOWNTOWN,500 PINE ST,693450,101,Retail,39118724.0
CENTURYLINK: SEATTLE BELL PLAZA,1600 7TH AVE,791396,50,Office,40010056.0
1700 SEVENTH BUILDING,1700 7TH AVE,747747,26,Office,18604186.0
TOWER BLDG,1809 7TH AVE,204790,96,Office,7179538.0
TIMES SQUARE BUILDING (THE VANCE CORPORATION),414 OLIVE WAY,73399,110,Office,2491430.0
PLAZA 600 BUILDING,600 STEWART ST,265851,57,Office,15218627.0
WEST 8TH,2001 8TH AVE,758043,17,Office,12071713.0
DENNY BUILDING,2200 6TH AVE,190642,58,Office,9687624.0
1918 EIGHTH AVE,1918 8TH AVE,824887,17,Office,28204648.0
1800 9TH AVENUE BUILDING,1800 9TH AVE,480840,36,Office,9591880.0
BRODERICK BUILDING,615 2ND AVE,89550,126,Office,2133378.0
PIONEER BUILDING,600 1ST AVE,89355,126,Office,3881006.0
DEXTER HORTON BUILDING,710 2ND AVE,388934,104,Office,10414039.0
EXCHANGE BUILDING,821 2ND AVE,384302,97,Office,8948448.0
NORTON BUILDING,801 2ND AVE,378525,68,Office,19304616.0
999 THIRD AVE,999 3RD AVE,1323055,43,Office,32750452.0
1000 2ND AVENUE BUILDING,1000 2ND AVE,589921,40,Office,16374714.0
1101 SECOND AVE OFFICE BUILDING,1101 2ND AVE,147672,58,Office,4007032.0
2ND & SENECA BLDS,1191 2ND AVE,635303,35,Office,15367942.0
SECOND AND SPRING BUILDING,1100 2ND AVE,172842,68,Office,34802784.0
1111 3RD AVE BUILDING,1111 3RD AVE,776762,46,Office,22380224.0
ABRAHAM LINCOLN BUILDING,1110 3RD AVE,186768,54,Office,9452315.0
SAFECO PLAZA / 1001 FOURTH AVENUE,1001 4TH AVE,1123435,57,Office,41480312.0
FOURTH & MADISON ( IDX TOWER),925 4TH AVE,1052469,24,Office,29152766.0
901 FIFTH AVENUE,901 5TH AVE,711611,53,Office,35538024.0
CENTRAL BUILDING,810 3RD AVE,201480,119,Office,6461281.0
SEATTLE MUNICIPAL TOWER,700 5TH AVE,1354987,36,Office,39379856.0
SEATTLE JUSTICE CENTER,610 5TH AVE,310490,25,Other,19178292.0
CITY HALL,600 4TH AVE,199530,23,Office,13281259.0
CHINOOK BLDG - KING COUNTY,401 5TH AVE,372242,20,Office,14142388.0
YESLER BUILDING - KING COUNTY,400 YESLER WAY,114395,117,Office,6132800.0
UNIVERSITY BOOK STORE,4326 UNIVERSITY WAY NE,89200,48,Retail,5008046.0
UW TOWER BLDG COMPLEX,4333 BROOKLYN AVE NE,474546,55,Office,27178818.0
UW TOWER DATA CENTER,4310 12TH AVE NE,36000,57,Other,34912920.0
UNIVERSITY DISTRICT BUILDING,1107 NE 45TH ST,99005,65,Office,7967106.0
4311 ROOSEVELT,4311 11TH AVE NE,135051,24,Office,3624048.0
4300 ROOSEVELT,4300 ROOSEVELT WAY NE,220649,24,Office,4039472.0
SEATTLE VAULT SELF STORAGE,1800 TERRY AVE,93660,62,Warehouse,311236.0
METROPOLITAN PARK I  (WEST) OFFICE BLDG,1100 OLIVE WAY,413715,46,Office,11684866.0
METROPOLITAN PARK NORTH BUILDING,1220 HOWELL ST,380312,26,Other,7295764.0
METROPOLITAN PARK EAST,1730 MINOR AVE,497513,38,Office,12756213.0
FOURTH & BLANCHARD BUILDING,2101 4TH AVE,543876,47,Office,15952802.0
3005 1ST AVE BUILDING,3005 1ST AVE,109347,46,Other,14721411.0
THIRD AND BROAD BLDG,2901 3RD AVE,396626,44,Office,8294498.0
5TH & BELL BUILDING,2301 5TH AVE,287471,24,Office,10889930.0
SIXTH & WALL BUILDING (521 WALL ST),521 WALL ST,192630,79,Other,5702566.0
3101 WESTERN (FORMERLY AIRBORNE BLDG),3101 WESTERN AVE,253103,42,Office,36693716.0
QFC HOLMAN ROAD,9999 HOLMAN RD NW,60880,70,Retail,10886422.0
COLLINS BUILDING,520 2ND AVE,50176,126,Office,2814682.0
SMITH TOWER,506 2ND AVE,304346,114,Office,16276140.0
SKINNER BLDG,1326 5TH AVE,226061,99,Office,11320395.0
IBM BUILDING,1200 5TH AVE,336330,62,Office,15256226.0
PUGET SOUND PLAZA,1325 4TH AVE,552176,66,Office,20929100.0
RAINIER TOWER,1301 5TH AVE,476871,50,Office,29861424.0
FAIRMONT OLYMPIC HOTEL,411 UNIVERSITY ST,544174,103,Hotel,46709256.0
LOWES & AMAZON W,2700 RAINIER AVE S,291940,46,Other,7805558.0
THAW BUILDING,8300 MILITARY RD S,91360,56,Other,5334846.0
SOUND TRANSIT,920 N 137TH ST,52311,66,Other,1168146.0
500 YALE AVENUE NORTH,500 YALE AVE N,141131,17,Office,1524686.0
REPUBLICAN BUILDING,501 EASTLAKE AVE E,176532,25,Office,9162509.0
FERGUSON TERMINAL,4205 9TH AVE NW,52500,53,Other,1625521.0
2601 ELLIOTT AVE,2601 ELLIOTT AVE,350310,110,Office,4653288.0
WASH MUTUAL TOWER (1201 THIRD AVE),1201 3RD AVE,1413575,38,Office,42176492.0
2+U,1201 2ND AVE,899127,7,Office,30593952.0
WASHINGTON ATHLETIC CLUB,1325 6TH AVE,305548,96,Other,35706796.0
US BANK CENTER,1420 5TH AVE,1536606,37,Office,37026656.0
LOGAN BUILDING,500 UNION ST,135918,68,Office,6178272.0
O'SHEA BUILDING/GAP,1524 5TH AVE,79957,112,Office,2127836.0
DECATUR BUILDING,1511 6TH AVE,125084,105,Office,3502996.0
520 PIKE BUILDING,520 PIKE ST,500000,43,Office,15212546.0
4PIKE,1424 4TH AVE,132326,100,Office,2794527.0
WaFd Bank,425 PIKE ST,109830,42,Office,3747572.0
MOTIF SEATTLE,1414 4TH AVE,332067,53,Hotel,27390540.0
JOSHUA GREEN BUILDING,1425 4TH AVE,109266,116,Office,5120792.0
MIKEN BLDG.,1417 4TH AVE,60660,106,Office,860885.0
VANCE BUILDING,1402 3RD AVE,137500,97,Office,3184395.0
1411 BUILDING,1411 4TH AVE,151039,97,Office,6190991.0
CENTURY SQUARE,1501 4TH AVE,755000,41,Office,36251724.0
MELBOURNE TOWER OFF,1511 3RD AVE,130893,99,Office,6352492.0
POLL BUILDING,110 UNION ST,79920,116,Office,4280712.0
MAIN MARKET,1501 PIKE PL,137400,118,Other,14219931.0
MERIDIAN CENTER WEST,1500 6TH AVE,147852,30,Other,3477220.0
MERIDIAN CENTER EAST,614 PIKE ST,267335,30,Other,8715718.0
TWO UNION SQUARE,601 UNION ST,1605578,37,Office,41791056.0
ONE UNION SQUARE,600 UNIVERSITY ST,794592,46,Office,20184666.0
PARK PLACE OFFICE BLDG,1200 6TH AVE,456304,55,Office,18354552.0
101 STEWART,101 STEWART ST,115857,40,Office,3374242.0
PORT OF SEATTLE - WORLD TRADE CENTER-WEST,2200 ALASKAN WAY,87500,27,Office,2851384.0
WORLD TRADE CENTER-EAST,2211 ELLIOTT AVE,374405,28,Office,9337686.0
CENTURYLINK: LENORA MAIN,120 LENORA ST,193500,41,Other,11293594.0
TERMINAL SALES OFFICE BUILDING,1932 1ST AVE,102846,103,Office,4300297.0
MARSHALL BUILDING/DAHLIA LOUNGE,2013 4TH AVE,52800,101,Office,4264142.0
SECURITIES & MARKET BUILDING CAMPUS,1904 3RD AVE,448832,113,Office,8796181.0
300 PINE STREET,300 PINE ST,861702,97,Office,18768154.0
VIRGINIA MASON - BENAROYA RESEARCH INSTITUTE,1201 9TH AVE,206950,27,Other,16335749.0
VIRGINIA MASON - Health Resources Building,909 UNIVERSITY ST,68500,38,Other,4023860.0
VIRGINIA MASON- Lindeman Pavilion,1201 TERRY AVE,266000,81,Office,15186925.0
1101 MADISON TOWER,1101 MADISON ST,690158,34,Office,24892352.0
333 DEXTER AVE N,333 DEXTER AVE N,934154,8,Office,30389288.0
ELLIOTT BAY OFFICE PARK,300 ELLIOTT AVE W,275734,45,Office,5536036.0
FEDEX VAN TERMINAL,651 S ALASKA ST,123061,25,Other,4000640.0
WASHINGTON STATE FERRIES,6000 6TH AVE S,59090,63,Warehouse,1491120.0
GTE SYLVANIA,750 S MICHIGAN ST,106000,63,Other,2570055.0
1551 EASTLAKE BLDG.,1551 EASTLAKE AVE E,158600,64,Office,19673952.0
FRYE DISTRIBUTION CENTER,660 S OTHELLO ST,119661,66,Other,277207.0
1144 EASTLAKE BUILDING,1144 EASTLAKE AVE E,139200,25,Office,4377016.0
701 DEXTER BUILDING,701 DEXTER AVE N,95721,42,Office,1123377.0
JUXT APARTMENTS (2017),810 DEXTER AVE N,391386,10,Other,8145849.0
1100 DEXTER,1100 DEXTER AVE N,228460,30,Office,4072502.0
1441 LAKE UNION CENTER,1441 N 34TH ST,103697,25,Other,18590530.0
NORTHGATE EXECUTIVE CENTER B,155 NE 100TH ST,74880,52,Office,3813614.0
NORTHGATE EXECUTIVE CENTER C,9725 3RD AVE NE,88774,47,Office,5127175.0
NORTHGATE PLAZA,9709 3RD AVE NE,127392,43,Office,7295642.0
NORTHGATE OFFICE BUILDING,9750 3RD AVE NE,53730,47,Office,4379764.0
DELRIDGE BUILDING,4045 DELRIDGE WAY SW,55593,66,Office,3242983.0
425 PONTIUS,425 PONTIUS AVE N,134056,44,Office,2659878.0
COSTCO 4TH AVE S,4401 4TH AVE S,158415,21,Retail,24353326.0
1000 DENNY WAY BUILDING,1000 DENNY WAY,287819,97,Office,48094528.0
VIRGINIA MASON - Buck Pavilion,1100 9TH AVE,158738,51,Office,38640160.0
FRED MEYER BALLARD,915 NW 45TH ST,164437,27,Retail,15211055.0
INTERURBAN EXCHANGE II (Wainwright),535 TERRY AVE N,184482,17,Office,4579199.0
ROSEN BUILDING,960 REPUBLICAN ST,60375,98,Other,12264131.0
401 TERRY AVE (INSTITUTE FOR SYSTEM BIOLOGY),401 TERRY AVE N,258505,23,Other,43647560.0
428 WESTLAKE BUILDING,428 WESTLAKE AVE N,139282,22,Office,6375256.0
CITY PLACE II (Fiona),500 BOREN AVE N,271071,17,Office,6602694.0
PUBLIC STORAGE - PARENT BUILDING (STORE 8185),700 FAIRVIEW AVE N,257970,112,Warehouse,1805720.0
FHCRC - ARNOLD BLDG,1100 FAIRVIEW AVE N,560516,24,Office,27412582.0
FHCRC - YALE BLDG,823 YALE AVE N,226592,25,Office,9606054.0
SEATTLE BIOMEDICAL BUILDING,307 WESTLAKE AVE N,159700,23,Other,19144660.0
WESTLAKE TERRY - EAST BLDG,321 TERRY AVE N,209816,20,Office,5333828.0
